Account Number,Category,Quantity,UnitPrice,ExtendedPrice
115138,Shirt,5,94.62,473.1
929400,Belt,7,50.85,355.95
115138,Shirt,7,45.14,315.98
296809,Shirt,6,15.69,94.14
98022,Belt,10,76.76,767.6
850140,Shoes,20,53.03,1060.6
304860,Shoes,2,78.64,157.28
93356,Belt,19,72.11,1370.09
563905,Shoes,16,33.21,531.36
850140,Shirt,8,59.23,473.84
93356,Shoes,13,81.45,1058.85
115138,Shirt,3,61.04,183.12
850140,Shirt,2,39.31,78.62
524021,Shirt,7,60.29,422.03
299771,Shoes,14,46.43,650.02
750461,Belt,15,15.12,226.8
296809,Shoes,8,51.47,411.76
734922,Shoes,15,91.88,1378.2
296809,Shirt,16,82.36,1317.76
98022,Shoes,8,84.24,673.92
659366,Shoes,10,88.36,883.6
676847,Shoes,10,47.2,472
929400,Belt,20,51.16,1023.2
304860,Shirt,3,55.75,167.25
201259,Shoes,13,81.58,1060.54
758133,Shirt,1,13.47,13.47
676847,Shirt,11,23.33,256.63
98022,Belt,12,84.23,1010.76
659366,Shoes,17,98.86,1680.62
850140,Shirt,5,12.07,60.35
676847,Shirt,8,87.5,700
659366,Shirt,8,63.37,506.96
524021,Shirt,9,87.07,783.63
98022,Shirt,2,88.57,177.14
299771,Shoes,1,16.29,16.29
201259,Shoes,8,55.16,441.28
995267,Shoes,20,25.66,513.2
98022,Shoes,13,19.69,255.97
305803,Shoes,3,71.28,213.84
524021,Belt,6,57.14,342.84
659366,Shoes,3,97.92,293.76
555594,Shirt,9,60.94,548.46
93356,Shoes,6,51.18,307.08
659366,Shirt,18,62.58,1126.44
750461,Shirt,13,77.42,1006.46
93356,Shoes,11,36.49,401.39
305803,Shirt,17,57.5,977.5
296809,Belt,17,76.08,1293.36
659366,Shirt,14,11.91,166.74
850140,Shoes,17,82.86,1408.62
929400,Belt,16,51.93,830.88
299771,Shoes,17,96.71,1644.07
115138,Belt,15,25.75,386.25
850140,Shirt,6,38.77,232.62
304860,Shoes,6,52.93,317.58
711951,Shoes,17,97.99,1665.83
659366,Belt,10,36.72,367.2
734922,Shoes,9,84.43,759.87
750461,Shoes,11,68.13,749.43
299771,Shirt,6,92.62,555.72
995267,Shirt,8,51.86,414.88
750461,Shirt,19,52.45,996.55
304860,Shirt,19,32.23,612.37
563905,Belt,4,61.06,244.24
711951,Shirt,11,44.56,490.16
115138,Belt,1,58.03,58.03
758133,Belt,11,39.89,438.79
524021,Shoes,18,51.46,926.28
676847,Shirt,12,92.28,1107.36
115138,Shirt,20,32.53,650.6
304860,Shirt,6,67.49,404.94
296809,Shirt,11,14.92,164.12
299771,Shoes,3,16.5,49.5
734922,Belt,20,25.09,501.8
711951,Shirt,20,72.86,1457.2
304860,Belt,4,60.95,243.8
676847,Belt,12,47.05,564.6
850140,Shirt,20,36,720
555594,Shoes,3,25.52,76.56
98022,Belt,3,43.89,131.67
98022,Shoes,6,55.68,334.08
734922,Shirt,13,21.76,282.88
659366,Shirt,14,85.44,1196.16
711951,Shirt,20,88.71,1774.2
929400,Shoes,1,32.44,32.44
758133,Shirt,12,40.53,486.36
711951,Shoes,8,41.95,335.6
98022,Shirt,3,41.04,123.12
750461,Shirt,4,65.64,262.56
734922,Shirt,4,59,236
296809,Shoes,19,20.01,380.19
711951,Shoes,18,37.06,667.08
929400,Belt,8,13.41,107.28
115138,Shirt,19,36.84,699.96
659366,Shirt,18,13.47,242.46
299771,Shoes,11,87.09,957.99
201259,Belt,19,18.85,358.15
850140,Shoes,7,56.99,398.93
115138,Shirt,20,31.99,639.8
304860,Shoes,14,27.24,381.36
758133,Shoes,11,51.07,561.77
524021,Shoes,11,40.32,443.52
758133,Belt,19,62.8,1193.2
115138,Shoes,5,33.56,167.8
299771,Shirt,17,60.22,1023.74
296809,Shoes,8,21.41,171.28
296809,Shirt,13,43.03,559.39
93356,Shoes,11,76.8,844.8
850140,Shoes,12,81.66,979.92
995267,Shirt,16,63.2,1011.2
711951,Shoes,1,95.18,95.18
201259,Shirt,10,20.2,202
305803,Shoes,15,59.34,890.1
296809,Belt,16,91.77,1468.32
734922,Shoes,4,87.65,350.6
711951,Shoes,13,34.4,447.2
734922,Shoes,18,44.89,808.02
929400,Shoes,15,75,1125
929400,Shoes,8,19.05,152.4
115138,Belt,5,13.31,66.55
304860,Shirt,5,58.12,290.6
676847,Shoes,19,58.95,1120.05
758133,Shoes,16,51.28,820.48
659366,Shirt,2,35.44,70.88
555594,Shirt,16,79.23,1267.68
524021,Shoes,2,19.42,38.84
93356,Shirt,9,70.81,637.29
555594,Belt,10,27.65,276.5
555594,Shirt,18,53.57,964.26
98022,Shoes,19,87.08,1654.52
304860,Shirt,3,88.25,264.75
115138,Shoes,16,74.73,1195.68
758133,Shirt,15,39.14,587.1
850140,Shoes,5,63.32,316.6
305803,Shoes,7,18.99,132.93
93356,Shirt,6,48.34,290.04
93356,Shoes,1,76.61,76.61
929400,Shoes,11,10.12,111.32
995267,Shirt,20,96.14,1922.8
304860,Shoes,10,69.19,691.9
563905,Shirt,16,64.75,1036
201259,Shoes,1,62.87,62.87
299771,Belt,13,13.05,169.65
93356,Shirt,2,96.8,193.6
98022,Shoes,6,23.04,138.24
850140,Shirt,8,35.98,287.84
115138,Shirt,9,14.71,132.39
995267,Shoes,2,43.85,87.7
563905,Shoes,9,52.42,471.78
98022,Belt,15,20.07,301.05
659366,Belt,17,56.27,956.59
98022,Belt,8,79.2,633.6
555594,Shoes,7,97.93,685.51
524021,Belt,8,49.06,392.48
750461,Shoes,5,62.46,312.3
305803,Shirt,20,11.96,239.2
201259,Shirt,12,91.33,1095.96
115138,Belt,3,93.5,280.5
98022,Shoes,19,26.88,510.72
555594,Shoes,8,49.15,393.2
98022,Belt,7,52.04,364.28
995267,Shirt,13,97.04,1261.52
555594,Shirt,6,29.88,179.28
524021,Shirt,6,62.36,374.16
524021,Shirt,15,88.44,1326.6
711951,Shirt,16,79.71,1275.36
676847,Shoes,11,96.57,1062.27
296809,Shirt,12,79.85,958.2
93356,Shirt,2,47.74,95.48
995267,Shirt,18,97.33,1751.94
676847,Shirt,18,98.39,1771.02
995267,Shoes,2,94.06,188.12
929400,Shoes,11,19.17,210.87
305803,Shoes,18,20.74,373.32
995267,Shirt,7,80.69,564.83
93356,Shirt,15,84.23,1263.45
524021,Shoes,9,39.14,352.26
929400,Shirt,10,67.36,673.6
734922,Shirt,14,93.45,1308.3
201259,Shoes,8,62.68,501.44
555594,Belt,13,86.33,1122.29
711951,Shoes,1,25.23,25.23
555594,Shirt,14,93.56,1309.84
296809,Shoes,19,22.36,424.84
711951,Shoes,13,72.82,946.66
98022,Shirt,4,22.33,89.32
929400,Shoes,5,41.67,208.35
296809,Shoes,13,29.69,385.97
758133,Shoes,20,20.83,416.6
524021,Shoes,12,96.49,1157.88
758133,Belt,15,51.35,770.25
563905,Shoes,16,90.96,1455.36
711951,Shoes,12,22.81,273.72
93356,Shirt,19,28.76,546.44
98022,Shirt,2,35.71,71.42
296809,Shoes,9,32.75,294.75
758133,Shoes,2,92.23,184.46
524021,Shoes,12,18.24,218.88
305803,Shirt,6,49.81,298.86
304860,Belt,2,22.38,44.76
929400,Belt,10,25.65,256.5
299771,Belt,12,37.5,450
115138,Shirt,20,72.35,1447
758133,Shoes,2,48.21,96.42
711951,Shirt,1,91.96,91.96
929400,Shoes,7,62.27,435.89
93356,Shirt,20,99.74,1994.8
98022,Belt,15,82.82,1242.3
734922,Shoes,8,85.04,680.32
995267,Shoes,10,73.24,732.4
93356,Shirt,9,68.62,617.58
304860,Belt,1,57.33,57.33
850140,Shirt,9,27.16,244.44
659366,Shoes,10,56.56,565.6
296809,Belt,20,14.37,287.4
758133,Belt,11,60.5,665.5
850140,Shoes,16,19.66,314.56
93356,Shoes,13,90.95,1182.35
304860,Shoes,9,98.22,883.98
98022,Shoes,14,74.83,1047.62
